Model,Explanation
Mistral 7B (Sentiment),India:0.0262; may:-0.0130; government:-0.0084; stock:0.0076; signals:0.0068; consumer:-0.0058; can:-0.0042; confidence:-0.0019; Markets:-0.0013; strategy:0.0006
Mistral 7B (Sentiment),lows:-0.1843; declining:-0.1222; declines:-0.1094; prices:-0.0651; levels:-0.0583; selling:0.0498; lead:-0.0467; nhod:0.0446; depending:-0.0356; among:0.0186
Mistral 7B (Sentiment),decrease:-0.2089; decline:-0.1217; prices:-0.1035; unfavorable:-0.1020; the:-0.0625; to:-0.0562; asset:0.0454; increased:0.0337; Expectations:0.0127; anticipation:0.0069
Mistral 7B (Sentiment),taxes:-0.0649; harming:-0.0520; impacting:-0.0509; challenges:-0.0490; retail:-0.0470; concern:-0.0467; its:-0.0384; If:-0.0337; respond:-0.0284; shaped:-0.0224
Mistral 7B (Sentiment),stock:0.0280; buy:0.0211; the:0.0109; upward:0.0104; positive:0.0098; increased:0.0068; term:0.0067; can:-0.0064; investors:0.0063; may:-0.0058
Mistral 7B (Sentiment),Coronavirus:-0.1390; the:-0.1244; delay:-0.1035; pandemic:-0.0707; to:-0.0697; in:-0.0672; implications:-0.0492; Spending:-0.0439; development:0.0243; short:-0.0029
Mistral 7B (Sentiment),uncertain:0.0374; negative:-0.0356; buying:0.0342; AAP:-0.0342; feeling:0.0240; concerns:-0.0199; stock:0.0189; indicate:0.0162; indicates:0.0124; additional:-0.0056
Mistral 7B (Sentiment),uncertainty:-0.0268; positive:0.0262; increased:0.0201; indexes:-0.0193; Favorable:0.0190; buy:0.0163; GDP:-0.0107; market:-0.0079; losses:-0.0067; technical:-0.0031
Mistral 7B (Sentiment),company:0.0151; positive:0.0143; CSOD:-0.0134; s:0.0132; potential:0.0088; stock:0.0073; may:-0.0070; implications:-0.0052; often:-0.0050; governmental:-0.0016
Mistral 7B (Sentiment),coronavirus:-0.1223; challenges:-0.0766; sentiment:-0.0627; or:-0.0546; lower:-0.0456; getting:-0.0331; who:0.0234; resilience:0.0207; recovery:0.0092; this:-0.0052
Mistral 7B (Sentiment),negative:-0.0544; market:-0.0489; AAPL:-0.0472; Apple:-0.0387; trend:-0.0370; a:-0.0269; stock:0.0238; positive:0.0207; time:-0.0204; investor:0.0063
Mistral 7B (Sentiment),weak:-0.1278; stock:0.1119; strong:0.0859; Caution:-0.0685; fails:-0.0646; following:-0.0604; aligning:-0.0385; overall:-0.0202; Momentum:-0.0195; resistance:0.0027
Mistral 7B (Sentiment),short:-0.1708; decline:-0.0756; Decline:-0.0686; shorting:-0.0608; are:-0.0453; why:-0.0398; DEPO:0.0092; mentions:0.0063; encouraging:0.0047; inviting:0.0007
Mistral 7B (Sentiment),coronavirus:-0.1689; Federal:-0.1194; Against:-0.0757; businesses:-0.0656; Caution:-0.0598; may:-0.0590; This:0.0205; recovery:0.0030; domestic:-0.0019; improvements:-0.0006
Mistral 7B (Sentiment),stock:0.0278; investors:0.0091; user:0.0074; reflects:0.0058; future:0.0043; bargain:0.0043; optimism:0.0041; implies:-0.0018; take:0.0012; derived:-0.0001
Mistral 7B (Sentiment),negative:-0.0277; entering:0.0198; more:0.0179; Positive:0.0177; Speculation:0.0166; positive:0.0164; indicating:0.0133; breaks:-0.0067; The:-0.0038; news:-0.0010
Mistral 7B (Sentiment),not:0.0380; stock:0.0285; from:0.0173; the:0.0169; expect:0.0164; Interest:0.0129; that:0.0105; fall:-0.0092; selling:-0.0022; market:-0.0016
Mistral 7B (Sentiment),negative:-0.2239; short:-0.1330; declines:-0.0983; happen:-0.0949; of:-0.0928; could:-0.0834; price:-0.0789; on:-0.0553; squeeze:0.0540; strategy:0.0087
Mistral 7B (Sentiment),stock:0.0165; could:0.0067; confidence:0.0060; production:0.0059; the:0.0058; improved:0.0053; PO:0.0045; Chemicals:-0.0030; a:-0.0021; signs:0.0002
Mistral 7B (Sentiment),stock:0.0218; volatility:0.0097; investors:0.0086; Positive:0.0085; Targeting:0.0079; achieved:0.0061; reversals:-0.0061; Further:0.0060; SSYS:-0.0050; or:-0.0033
Mistral 7B (Sentiment),negative:-0.1056; short:-0.0953; decline:-0.0516; negatively:-0.0490; loss:-0.0459; weakening:-0.0458; suit:-0.0368; stock:0.0125; regarding:0.0073; approach:0.0011
Mistral 7B (Sentiment),stock:0.0111; 4:0.0072; positive:0.0068; the:0.0055; are:0.0043; they:-0.0026; if:0.0017; 10:0.0006; might:0.0004; price:-0.0004
Mistral 7B (Sentiment),bearish:-0.1796; decline:-0.1439; declines:-0.1367; lows:-0.1118; downturn:-0.1114; the:0.0556; in:-0.0553; Market:-0.0457; stock:0.0323; prevent:0.0173
Mistral 7B (Sentiment),downgrade:-0.1329; positive:0.1261; market:-0.0378; OmniVision:-0.0352; a:-0.0319; awaited:0.0215; anticipation:0.0160; Q1:0.0146; This:0.0040; for:0.0018
Mistral 7B (Sentiment),positive:0.0226; market:-0.0150; movements:-0.0113; like:0.0100; impact:-0.0092; could:-0.0079; a:-0.0076; Obama:0.0076; Channel:-0.0064; political:-0.0047
Mistral 7B (Sentiment),stock:0.0421; upward:0.0173; positive:0.0116; buying:0.0113; investors:0.0084; reference:0.0049; lack:-0.0047; interpreting:-0.0047; change:-0.0015; market:-0.0010
Mistral 7B (Sentiment),decrease:-0.1513; market:-0.0878; and:0.0687; economic:-0.0464; a:-0.0452; will:-0.0437; positive:0.0348; about:0.0298; confident:0.0138; The:0.0099
Mistral 7B (Sentiment),stock:0.0203; Big:0.0188; downward:-0.0137; among:0.0123; Consideration:0.0093; prompt:0.0078; market:-0.0061; Such:-0.0058; about:-0.0020; typically:-0.0002
Mistral 7B (Sentiment),Apple:-0.0588; market:-0.0161; company:0.0119; investors:0.0117; stock:0.0114; s:0.0108; impact:-0.0087; performance:0.0083; strong:0.0082; in:-0.0075
Mistral 7B (Sentiment),stock:0.0108; buy:0.0097; the:0.0080; conditions:0.0060; positive:0.0060; investor:0.0059; at:0.0050; Analyst:0.0049; coverage:-0.0015; among:0.0002
Mistral 7B (Sentiment),decline:-0.0726; implications:-0.0665; in:-0.0553; reduced:-0.0492; Companies:-0.0475; affected:-0.0467; declines:-0.0431; on:-0.0404; confidence:0.0032; investors:-0.0027
Mistral 7B (Sentiment),positive:0.0092; investment:0.0084; overall:0.0078; potential:0.0067; investor:0.0066; Weekly:-0.0065; booming:0.0061; cue:0.0058; so:0.0056; shares:0.0043
Mistral 7B (Sentiment),fading:-0.2189; trend:-0.1047; decline:-0.0723; down:-0.0630; investments:-0.0526; might:-0.0488; or:-0.0371; past:-0.0355; investors:-0.0269; favor:-0.0268
Mistral 7B (Sentiment),stock:0.0235; upward:0.0075; optimism:0.0069; hot:0.0066; Trend:0.0056; bullflag:0.0053; high:0.0046; If:-0.0022; stocks:-0.0022; appreciation:-0.0021
Mistral 7B (Sentiment),negative:-0.0587; concerns:-0.0413; reduced:-0.0370; sector:-0.0364; downward:-0.0360; loss:-0.0320; overreacted:-0.0315; panic:-0.0314; movement:-0.0280; positions:0.0131
Mistral 7B (Sentiment),decline:-0.2163; stop:-0.1884; fluctuations:-0.1091; being:-0.0849; bearish:-0.0794; further:-0.0756; and:0.0572; stock:0.0538; the:0.0382; perceived:-0.0060
Mistral 7B (Sentiment),negative:-0.0963; decline:-0.0794; Negative:-0.0517; lack:-0.0500; Technical:-0.0342; outlook:-0.0340; downturns:-0.0306; coincides:-0.0251; s:0.0093; anticipated:0.0015
Mistral 7B (Sentiment),stock:0.0160; buy:0.0134; 3:0.0091; pattern:-0.0074; appreciation:0.0052; candle:-0.0035; a:0.0023; Influence:0.0022; trend:0.0011; may:-0.0006
Mistral 7B (Sentiment),stocks:0.0500; losers:-0.0256; buy:0.0218; investor:0.0188; hot:0.0161; drop:-0.0095; are:0.0088; behavior:-0.0083; lower:-0.0070; larger:0.0005
Mistral 7B (Sentiment),Huntington:0.0124; stock:0.0116; Bank:0.0101; fans:0.0100; momentum:0.0096; positive:0.0087; for:0.0071; Strategic:0.0069; upward:0.0052; similar:-0.0007
Mistral 7B (Sentiment),RBI:0.0343; capitalize:-0.0071; decrease:-0.0071; influence:-0.0066; enhance:0.0061; real:-0.0048; Rs:0.0023; s:0.0011; performance:-0.0006; infusion:0.0004
Mistral 7B (Sentiment),cut:-0.2231; to:-0.1365; output:-0.1342; oil:0.0522; agreement:0.0468; purchase:-0.0397; Arabia:-0.0148; beyond:-0.0111; long:0.0086; term:0.0008
Mistral 7B (Sentiment),stock:0.0296; investors:0.0087; the:0.0086; and:0.0063; strong:0.0062; tweet:0.0058; has:0.0052; if:-0.0023; view:0.0006; attracts:0.0001
Mistral 7B (Sentiment),stock:0.0231; positive:0.0105; prices:0.0092; WMT:0.0086; investor:0.0077; validation:0.0077; term:0.0074; experiencing:0.0041; technical:-0.0030; at:-0.0021
Mistral 7B (Sentiment),negative:-0.1110; lack:-0.1045; not:-0.0713; confidence:0.0655; a:-0.0594; or:0.0337; earnings:0.0326; investment:0.0084; Strategy:0.0066; indicators:0.0045
Mistral 7B (Sentiment),fluctuations:-0.1179; weaker:-0.1162; in:-0.1063; may:-0.0981; decline:-0.0967; concerns:-0.0694; indicate:-0.0643; decreased:-0.0566; significant:-0.0511; discounts:0.0046
Mistral 7B (Sentiment),stock:0.0332; is:0.0117; Positive:0.0115; investor:0.0107; signal:0.0103; confidence:0.0089; motivate:0.0075; long:-0.0015; potentially:0.0015; figures:0.0001
Mistral 7B (Sentiment),stock:0.0280; breakout:0.0150; the:0.0112; investor:0.0083; buying:0.0082; pattern:-0.0060; confirm:0.0059; may:-0.0024; reversal:-0.0021; breached:-0.0002
Mistral 7B (Sentiment),shorting:-0.1827; decline:-0.1090; short:-0.0900; macroeconomic:-0.0428; bearish:-0.0361; conditions:-0.0349; adversely:-0.0237; above:0.0234; there:0.0161; horizon:0.0107
Mistral 7B (Sentiment),stop:-0.0378; feel:0.0289; supports:0.0178; anticipating:0.0162; Change:-0.0153; implications:-0.0153; change:-0.0126; to:-0.0088; decline:-0.0073; interpret:-0.0004
Mistral 7B (Sentiment),short:-0.1968; declines:-0.0866; decrease:-0.0847; weakness:-0.0781; to:-0.0698; losses:-0.0519; imply:-0.0390; information:-0.0203; plan:0.0149; This:-0.0016
Mistral 7B (Sentiment),company:0.0181; investor:0.0159; positive:0.0111; is:0.0084; 2:0.0077; opportunities:0.0064; Expansion:0.0064; growth:0.0061; Consumer:-0.0012; entice:-0.0002
Mistral 7B (Sentiment),short:-0.1416; bearish:-0.1383; decreased:-0.0934; faltering:-0.0895; lower:-0.0857; weaken:-0.0646; safeguard:-0.0618; to:-0.0615; doji:0.0330; avoid:-0.0111
Mistral 7B (Sentiment),joblessness:-0.0924; may:-0.0494; expectations:-0.0436; devaluing:-0.0405; weakening:-0.0379; between:-0.0362; lower:-0.0339; instability:-0.0293; Rising:-0.0091; investor:0.0051
Mistral 7B (Sentiment),decline:-0.1943; declines:-0.1145; weakness:-0.1127; stock:0.0970; investor:-0.0691; drop:-0.0689; further:-0.0672; might:-0.0424; fulfilling:-0.0338; purchasing:0.0060
Mistral 7B (Sentiment),reduced:-0.0962; changes:-0.0885; slowdown:-0.0870; interest:-0.0818; a:-0.0814; government:-0.0757; in:-0.0664; might:-0.0561; announcement:0.0415; economy:-0.0048
Mistral 7B (Sentiment),the:0.0119; stock:0.0113; confidence:0.0079; positive:0.0074; investor:0.0073; buy:0.0070; growth:0.0066; long:-0.0019; if:0.0014; 1:0.0000
Mistral 7B (Sentiment),GMX:-0.0185; stock:0.0129; positive:0.0117; strong:0.0060; the:0.0057; Achievement:0.0041; Speculative:-0.0029; them:-0.0022; or:-0.0021; on:0.0020
Mistral 7B (Sentiment),stock:0.0049; trading:0.0028; signal:0.0022; increasing:0.0020; liquidity:0.0019; Fargo:0.0017; buy:0.0016; trend:-0.0013; share:-0.0007; 8:-0.0001
Mistral 7B (Sentiment),decline:-0.2110; negative:-0.0951; bearish:-0.0668; may:-0.0632; Negative:-0.0622; lack:-0.0560; not:-0.0499; further:-0.0425; could:-0.0362; recover:0.0007
Mistral 7B (Sentiment),shorted:-0.0411; despite:0.0270; stocks:0.0241; Highly:0.0231; known:-0.0187; highly:0.0169; and:0.0159; current:0.0126; stabilizing:0.0091; consider:-0.0023
Mistral 7B (Sentiment),stock:0.0193; potential:0.0147; investor:0.0128; buying:0.0128; are:0.0107; that:0.0096; reaching:0.0091; opportunity:0.0074; reduce:-0.0059; removed:-0.0035
Mistral 7B (Sentiment),stock:0.0364; investors:0.0169; buying:0.0149; momentum:0.0139; point:0.0126; for:0.0098; investor:0.0095; patterns:-0.0063; pattern:-0.0034; reference:-0.0003
Mistral 7B (Sentiment),stock:0.0117; performance:0.0084; CHE:0.0080; Interest:0.0064; considering:0.0056; highs:0.0053; investors:0.0051; sometimes:-0.0020; enticing:0.0004; home:0.0003
Mistral 7B (Sentiment),stock:0.0195; buy:0.0120; buying:0.0117; positive:0.0116; Overall:0.0096; the:0.0092; investor:0.0073; further:0.0050; NH:-0.0043; lucrative:-0.0024
Mistral 7B (Sentiment),negative:-0.2433; declines:-0.1275; bear:-0.1129; lead:-0.0757; influence:-0.0633; downturn:-0.0554; stock:0.0480; or:-0.0307; dynamics:0.0054; consider:0.0049
Mistral 7B (Sentiment),stock:0.0281; AAPL:-0.0188; positive:0.0115; term:0.0101; s:0.0091; daytrade:0.0079; gains:0.0070; market:-0.0045; operational:-0.0041; opportunity:-0.0021
Mistral 7B (Sentiment),2:0.0097; s:0.0097; versions:0.0078; investor:0.0076; term:0.0076; Android:0.0068; and:0.0059; The:-0.0015; or:-0.0013; usage:0.0003
Mistral 7B (Sentiment),the:-0.0106; analysis:-0.0091; dynamic:0.0079; or:-0.0072; sell:-0.0070; indices:-0.0070; in:0.0055; transportation:0.0046; Investors:0.0037; previous:-0.0001
Mistral 7B (Sentiment),stock:0.0179; above:0.0098; 200:0.0092; Overall:0.0060; Bullish:0.0050; use:-0.0050; anticipating:0.0031; can:-0.0029; holdings:0.0028; shift:-0.0027
Mistral 7B (Sentiment),stock:0.0563; the:0.0223; ride:0.0161; confidence:0.0149; level:0.0144; and:0.0141; lead:0.0057; heavily:-0.0031; psychology:-0.0007; lower:-0.0002
Mistral 7B (Sentiment),stock:0.0391; s:0.0099; investors:0.0092; the:0.0073; social:0.0072; BIOF:-0.0071; buy:0.0069; poster:-0.0068; expressed:0.0061; influence:-0.0011
Mistral 7B (Sentiment),panic:-0.0380; strong:0.0376; company:-0.0275; firing:-0.0172; CEO:-0.0145; may:-0.0116; s:0.0115; The:-0.0103; as:-0.0099; the:-0.0087
Mistral 7B (Sentiment),s:0.0113; buy:0.0107; upward:0.0101; Trading:0.0073; indicators:0.0058; prices:-0.0053; IDCC:0.0038; heightened:0.0036; motivated:0.0035; decide:-0.0013
Mistral 7B (Sentiment),shorting:-0.1704; decrease:-0.0805; short:-0.0685; negative:-0.0680; Market:-0.0466; backed:-0.0461; term:-0.0324; Liquidity:-0.0117; many:0.0072; proactively:0.0066
Mistral 7B (Sentiment),low:-0.0802; weaker:-0.0639; negatively:-0.0624; scares:-0.0450; Coronavirus:-0.0427; currency:-0.0367; or:-0.0108; Volatility:-0.0062; into:-0.0033; their:-0.0022
Mistral 7B (Sentiment),down:-0.2578; Apple:-0.1247; lack:-0.1009; decline:-0.0925; perceive:-0.0861; recovery:0.0721; strategy:0.0577; s:0.0380; potentially:0.0230; belief:-0.0061
Mistral 7B (Sentiment),stock:0.0766; downturn:-0.0329; to:-0.0281; upward:0.0262; through:0.0260; struggle:-0.0217; barrier:-0.0210; pauses:0.0144; under:-0.0077; several:-0.0004
Mistral 7B (Sentiment),negative:-0.0870; downturn:-0.0602; Apple:-0.0491; be:-0.0412; AAP:-0.0396; fractured:-0.0315; sales:-0.0302; disappointment:-0.0260; Uncertainty:0.0017; some:-0.0008
Mistral 7B (Sentiment),downturn:-0.0426; Google:-0.0277; amidst:0.0253; potential:0.0234; investor:0.0130; strategic:0.0127; Confirmation:0.0096; resilience:0.0066; their:0.0060; a:-0.0022
Mistral 7B (Sentiment),decline:-0.1943; GMX:-0.1142; drop:-0.1058; bearish:-0.0941; negative:-0.0904; potential:0.0882; the:0.0868; declines:-0.0756; influence:-0.0288; strong:0.0174
Mistral 7B (Sentiment),decline:-0.2094; decrease:-0.0783; reduction:-0.0587; declines:-0.0553; concerns:-0.0544; Negative:-0.0455; March:-0.0393; profit:0.0355; 5:-0.0293; assurance:-0.0017
Mistral 7B (Sentiment),stock:0.0237; positive:0.0175; CEG:0.0148; performance:0.0115; Overall:0.0093; investment:0.0091; 3:0.0061; may:-0.0009; represented:-0.0005; they:0.0001
Mistral 7B (Sentiment),short:-0.2558; this:-0.0608; negative:-0.0592; bearish:-0.0543; decline:-0.0522; signals:-0.0386; position:-0.0328; 2:0.0079; exploratory:0.0074; stock:0.0051
Mistral 7B (Sentiment),stock:0.0289; has:0.0110; shares:0.0096; even:0.0072; is:0.0066; Performance:0.0042; might:-0.0031; Given:0.0015; sector:-0.0011; Aversion:-0.0004
DeepSeek R1 (Distill LLaMA 8B),invest:0.0069; optimism:0.0065; boost:0.0062; opportunities:0.0060; 6:0.0049; of:0.0019; government:-0.0010; may:-0.0008; affect:-0.0006; India:-0.0002
DeepSeek R1 (Distill LLaMA 8B),bearish:-0.2648; tweet:-0.1358; declines:-0.0951; broken:-0.0939; The:-0.0908; drops:-0.0866; breach:-0.0847; might:-0.0813; traders:0.0653; stock:0.0484
DeepSeek R1 (Distill LLaMA 8B),term:0.0509; short:-0.0198; recent:0.0138; at:0.0138; implement:0.0094; Short:-0.0079; or:-0.0037; often:-0.0031; price:-0.0030; Reaction:-0.0009
DeepSeek R1 (Distill LLaMA 8B),SPY:-0.0266; traders:0.0060; healthy:0.0053; signals:-0.0047; climb:0.0039; higher:0.0038; with:0.0027; as:-0.0021; could:-0.0013; market:-0.0001
DeepSeek R1 (Distill LLaMA 8B),lack:-0.0067; provided:0.0051; tweet:-0.0050; stock:0.0048; that:0.0045; looking:0.0019; pressure:-0.0017; same:-0.0017; reflects:-0.0008; This:0.0000
DeepSeek R1 (Distill LLaMA 8B),a:0.0034; investor:0.0032; sentiment:0.0031; we:0.0026; has:0.0026; investors:0.0025; up:0.0021; also:0.0020; upward:0.0019; profitability:0.0002
DeepSeek R1 (Distill LLaMA 8B),and:0.0042; Volume:0.0038; surpasses:0.0037; there:0.0035; positive:0.0035; investors:0.0034; on:0.0032; poised:0.0029; tweet:-0.0014; conditions:0.0002
DeepSeek R1 (Distill LLaMA 8B),negative:-0.1566; decline:-0.1534; tweet:-0.1171; not:-0.1074; a:-0.1069; slump:-0.1040; The:-0.0980; may:-0.0970; down:-0.0825; activity:0.0033
DeepSeek R1 (Distill LLaMA 8B),tweet:-0.1361; in:-0.0958; negative:-0.0781; stock:0.0690; sway:-0.0656; resistance:-0.0597; may:-0.0529; trading:0.0469; Referencing:0.0225; Trade:0.0090
DeepSeek R1 (Distill LLaMA 8B),traders:0.0061; stock:0.0060; favorable:0.0058; over:0.0057; volatility:0.0055; the:0.0052; Entry:0.0051; phrase:0.0029; influence:0.0026; represent:0.0019
DeepSeek R1 (Distill LLaMA 8B),tweet:-0.0651; Lack:-0.0467; buy:0.0342; positive:0.0248; prefer:-0.0225; uncertainty:-0.0214; unclear:-0.0130; points:0.0117; buzz:0.0105; could:-0.0104
DeepSeek R1 (Distill LLaMA 8B),Sentiment:0.0047; has:0.0046; stock:0.0036; demand:0.0027; 3:0.0023; may:-0.0014; barrier:-0.0010; often:0.0006; it:0.0005; before:0.0005
DeepSeek R1 (Distill LLaMA 8B),short:-0.3271; Green:-0.1559; bearish:-0.1340; Short:-0.1087; sentiment:-0.0678; Here:-0.0493; HBAN:-0.0428; Indicators:0.0239; indicate:0.0055; certain:-0.0027
DeepSeek R1 (Distill LLaMA 8B),decreased:-0.1324; losses:-0.1173; bleak:-0.1161; among:-0.0958; Negative:-0.0817; portfolios:-0.0793; aviation:0.0690; fear:-0.0599; Term:-0.0245; promising:-0.0114
DeepSeek R1 (Distill LLaMA 8B),tweet:-0.1679; the:-0.1222; negative:-0.1128; affect:-0.1103; could:-0.1069; Given:-0.0995; might:-0.0882; lead:-0.0694; spread:-0.0630; followers:0.0383
DeepSeek R1 (Distill LLaMA 8B),stock:0.0170; down:-0.0119; tweet:-0.0118; not:-0.0092; traders:0.0081; trigger:-0.0056; Dumping:-0.0052; risk:0.0027; informed:0.0014; so:0.0013
DeepSeek R1 (Distill LLaMA 8B),established:0.0570; lows:-0.0524; target:-0.0426; down:-0.0346; tweet:-0.0328; potential:0.0298; traders:0.0250; of:-0.0226; inferred:-0.0193; this:0.0158
DeepSeek R1 (Distill LLaMA 8B),fall:-0.0736; could:-0.0604; decline:-0.0602; this:-0.0580; breached:-0.0579; traders:0.0539; react:-0.0506; market:-0.0503; concern:-0.0461; if:0.0043
DeepSeek R1 (Distill LLaMA 8B),management:-0.1102; harming:-0.1032; influence:-0.0919; the:-0.0870; sell:-0.0857; spreads:-0.0755; tweet:-0.0710; to:-0.0703; shaped:-0.0043; choose:-0.0027
DeepSeek R1 (Distill LLaMA 8B),upward:0.0092; term:0.0071; tweet:-0.0061; traders:0.0045; buy:0.0042; volume:0.0031; technical:0.0027; may:-0.0024; Engagement:0.0019; interest:-0.0016
DeepSeek R1 (Distill LLaMA 8B),allowing:0.0157; more:0.0100; positively:0.0100; Sectors:0.0098; liquid:0.0094; delay:-0.0088; could:-0.0054; government:-0.0045; short:0.0027; crisis:0.0010
DeepSeek R1 (Distill LLaMA 8B),GNW:-0.0112; tweet:-0.0111; might:-0.0064; better:0.0060; options:0.0057; underlying:-0.0052; positive:0.0042; responses:-0.0030; trading:0.0022; of:0.0010
DeepSeek R1 (Distill LLaMA 8B),upward:0.0077; and:0.0056; increased:0.0048; positive:0.0047; more:0.0044; may:-0.0042; a:0.0041; futures:0.0035; tweet:-0.0020; the:-0.0011
DeepSeek R1 (Distill LLaMA 8B),investors:0.0042; CSOD:0.0040; and:0.0038; peers:0.0028; stock:0.0026; Investor:0.0024; News:0.0019; sector:-0.0012; 1:-0.0005; Strategic:0.0004
DeepSeek R1 (Distill LLaMA 8B),recovery:0.0163; leadership:0.0137; Resilience:0.0120; selling:0.0060; columnist:-0.0058; brace:-0.0028; might:-0.0024; some:0.0012; likened:0.0006; adversely:0.0001
DeepSeek R1 (Distill LLaMA 8B),SPY:-0.0783; could:-0.0455; the:-0.0375; negative:-0.0356; stock:0.0317; blog:0.0302; investors:0.0218; Contextual:0.0216; notable:0.0160; post:-0.0157
DeepSeek R1 (Distill LLaMA 8B),stock:0.0819; weak:-0.0535; not:-0.0435; The:-0.0344; strong:0.0298; specific:-0.0275; term:0.0194; momentum:0.0126; sentiment:-0.0038; Indicators:0.0037
DeepSeek R1 (Distill LLaMA 8B),short:-0.4995; tweet:-0.0708; bearish:-0.0643; shorting:-0.0627; weakness:-0.0515; outlook:-0.0496; The:-0.0406; might:-0.0337; 5:0.0329; Sentiment:0.0253
DeepSeek R1 (Distill LLaMA 8B),eased:0.0131; easing:0.0123; historic:0.0091; improve:0.0077; tweet:-0.0071; Federal:-0.0051; affect:-0.0051; could:-0.0050; reallocate:0.0022; their:-0.0013
DeepSeek R1 (Distill LLaMA 8B),stock:0.0072; tweet:-0.0055; positive:0.0042; can:0.0037; the:-0.0030; consider:0.0022; on:0.0014; implies:0.0014; could:-0.0012; interest:0.0008
DeepSeek R1 (Distill LLaMA 8B),on:0.0086; term:0.0074; tweet:-0.0073; thrive:0.0053; opportunity:0.0042; negative:-0.0034; might:-0.0031; fluctuations:-0.0028; the:-0.0021; sell:-0.0016
DeepSeek R1 (Distill LLaMA 8B),stock:0.0194; traders:0.0187; not:0.0176; tweet:-0.0163; 11:0.0122; price:0.0119; short:-0.0089; interpreted:-0.0064; below:-0.0060; resistance:-0.0029
DeepSeek R1 (Distill LLaMA 8B),short:-0.2338; sell:-0.1223; declines:-0.1211; not:-0.1131; squeeze:0.1019; disappointment:-0.0985; lead:-0.0879; traders:0.0580; Traders:0.0127; before:0.0099
DeepSeek R1 (Distill LLaMA 8B),PO:0.0035; stock:0.0035; stocks:0.0030; consider:0.0029; that:0.0026; particular:0.0025; Sector:0.0017; might:0.0008; robust:0.0008; phrase:0.0006
DeepSeek R1 (Distill LLaMA 8B),traders:0.0062; stock:0.0054; achieved:0.0053; Positions:0.0052; term:0.0050; Overall:0.0037; 68ish:-0.0035; tweet:-0.0030; user:-0.0027; could:-0.0014
